stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 2,"Query_SMF,Connect_NRF",0.7422,0.8799,0.8796,0.8908,0.003969907760620117,14
Stage 3,"Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP",0.696,0.8663,0.8858,0.7499,0.003999471664428711,14
Stage 3,Connect_NEF,0.737,0.8749,0.8921,0.8602,0.005028486251831055,14
Stage 3,Connect_PCF,0.728,0.8757,0.8905,0.8322,0.003998756408691406,14
Stage 3,goal_node,0.7514,0.6673,0.6811,0.7483,0.004000186920166016,15
Stage 3,Launch_Agent,0.2579,0.8886,0.8932,0.8766,0.003999471664428711,15
Stage 3,Connect_UE,0.737,0.8763,0.8918,0.8574,0.003999233245849609,15
Stage 2,Portable_Execution,0.4532,0.8882,0.3532,0.8695,0.005029916763305664,15
Stage 3,goal_node,0.7514,0.6674,0.6812,0.7484,0.004000186920166016,16
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7103,0.8663,0.8883,0.7933,0.004030466079711914,16
Stage 3,Create_GTP,0.7326,0.8725,0.8915,0.8507,0.004999876022338867,16
Stage 2,Config_PB,0.5435,0.8867,0.8886,0.2083,0.0039789676666259766,16
Stage 3,Connect_PCF,0.7281,0.8758,0.8905,0.8323,0.00500178337097168,16
Stage 3,Connect_UPF,0.7256,0.8664,0.8909,0.8396,0.004003763198852539,16
Stage 2,"Query_SMF,Connect_NRF",0.7423,0.8801,0.8797,0.891,0.003999948501586914,16
Stage 3,Connect_UE,0.7371,0.8764,0.8919,0.8575,0.004001617431640625,16
Stage 2,Agent_based_MPB,0.3692,0.8886,0.2007,0.8748,0.003999233245849609,16
Stage 2,"Access_Server,Query_SMF",0.7165,0.8829,0.8723,0.8122,0.003999233245849609,16
Stage 3,"Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.7105,0.8664,0.8884,0.7935,0.004997968673706055,16
Stage 3,"Create_GTP,Connect_UE",0.7328,0.8727,0.8916,0.8508,0.0040285587310791016,16
Stage 2,Config_PB,0.5438,0.8868,0.8888,0.2091,0.004998922348022461,16
Stage 2,Portable_Execution,0.4542,0.8884,0.355,0.8697,0.004999876022338867,16
Stage 2,Portable_Execution,0.4548,0.8884,0.3561,0.8698,0.0039997100830078125,16
Stage 3,Connect_NEF,0.7372,0.8751,0.8922,0.8605,0.004000186920166016,16
Stage 3,Create_GTP,0.733,0.8727,0.8917,0.8509,0.004032135009765625,16
Stage 3,"Connect_C2,Rule_based_MPB,Exfiltrating_data,goal_node",0.2573,0.0591,0.9279,0.8866,0.0039997100830078125,17
Stage 3,Create_GTP,0.7329,0.8727,0.8917,0.8509,0.004000186920166016,17
Stage 3,"Connect_NEF,Connect_UPF,Create_GTP",0.7354,0.8665,0.8927,0.8691,0.004006624221801758,17
Stage 1,Authentication,0.7332,0.887,0.8819,0.8427,0.004002809524536133,17
Stage 3,goal_node,0.7517,0.6673,0.6814,0.7487,0.003999471664428711,18
Stage 3,Rule_based_MPB,0.3661,0.1972,0.8931,0.8757,0.003999948501586914,18
Stage 2,Deploy_malware,0.5874,0.8869,0.8854,0.355,0.003999471664428711,18
Stage 3,"Connect_UPF,Create_GTP,Connect_UE",0.7258,0.8665,0.8911,0.8399,0.003997087478637695,18
Stage 3,Connect_NEF,0.7373,0.8752,0.8923,0.8607,0.003999471664428711,18
Stage 2,Query_SMF,0.7275,0.8829,0.8798,0.8359,0.00496983528137207,18
Stage 3,"Connect_C2,Rule_based_MPB",0.3667,0.198,0.893,0.8724,0.0039997100830078125,18
Stage 3,"Connect_NRF,Connect_SMF,Connect_UPF,Create_GTP,Connect_UE",0.6964,0.8667,0.8862,0.7503,0.003999233245849609,18
Stage 3,goal_node,0.7518,0.6675,0.6816,0.7488,0.004998445510864258,19
Stage 1,Access_Server,0.7183,0.8857,0.8727,0.8127,0.00500035285949707,19
Stage 3,Connect_UE,0.7374,0.8766,0.8922,0.8579,0.003999948501586914,19
Stage 3,"Rule_based_MPB,Exfiltrating_data,goal_node",0.2567,0.0592,0.9282,0.8899,0.005000591278076172,20
