attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
2,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF']",0.9697,0.9876,0.9737,0.9119,0.003999948501586914,0
3,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF']",0.9719,0.9829,0.9737,0.9392,0.0039980411529541016,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9697,0.9876,0.9737,0.9119,0.003000497817993164,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.004999637603759766,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_PCF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9607,0.9559,0.9737,0.9392,0.0029997825622558594,0
3,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF']",0.9607,0.9559,0.9737,0.9392,0.003999948501586914,0
2,Stage 1,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server']",0.972,0.993,0.9737,0.9119,0.0030002593994140625,0
2,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware']",0.9056,0.9922,0.9737,0.4772,0.0039997100830078125,0
4,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']",0.9607,0.9559,0.9737,0.9392,0.0039980411529541016,0
1,Stage 1,['Logon_PB'],0.9847,0.9962,0.9857,0.952,0.003999233245849609,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9697,0.9876,0.9737,0.9119,0.004999876022338867,0
2,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF']",0.9697,0.9876,0.9737,0.9119,0.003998994827270508,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB']",0.8766,0.9918,0.9737,0.2873,0.0040013790130615234,0
1,Stage 1,['Input_Credentials'],0.9843,0.9961,0.9853,0.9508,0.004000425338745117,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9607,0.9559,0.9737,0.9392,0.003998994827270508,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.003999471664428711,0
1,Stage 1,['Remote_access_PB'],0.9848,0.9962,0.9858,0.9522,0.003999948501586914,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF']",0.9719,0.9829,0.9737,0.9392,0.002997875213623047,0
3,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_PCF', 'Connect_UPF']",0.9607,0.9559,0.9737,0.9392,0.0029993057250976562,0
3,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB']",0.8766,0.9918,0.9737,0.2873,0.004002094268798828,0
3,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'goal_node']",0.8327,0.9778,0.9215,0.034,0.0030188560485839844,3
1,Stage 1,['Logon_PB'],0.9847,0.9962,0.9857,0.952,0.004000186920166016,0
2,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9697,0.9876,0.9737,0.9119,0.002986431121826172,0
1,Stage 1,['Remote_access_PB'],0.9848,0.9962,0.9858,0.9522,0.004015207290649414,0
3,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF']",0.9607,0.9559,0.9737,0.9392,0.004017353057861328,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF']",0.9719,0.9829,0.9737,0.9392,0.003999948501586914,0
1,Stage 1,['Logon_PB'],0.9847,0.9962,0.9857,0.952,0.004008054733276367,0
3,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF']",0.9674,0.9721,0.9737,0.9392,0.0030264854431152344,0
3,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'goal_node']",0.8327,0.9778,0.9215,0.034,0.002994537353515625,4
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9824,0.9956,0.9836,0.9448,0.004007101058959961,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9824,0.9956,0.9836,0.9448,0.003999948501586914,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB']",0.8766,0.9918,0.9737,0.2873,0.004000663757324219,0
2,Stage 1,"['Input_Credentials', 'Authentication', 'SystemUseNotPB']",0.9813,0.9953,0.9825,0.9413,0.004000186920166016,0
4,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'Connect_NRF', 'Connect_PCF', 'Connect_UPF']",0.8235,0.9559,0.9737,0.2413,0.003000020980834961,0
3,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF']",0.9674,0.9721,0.9737,0.9392,0.004000186920166016,0
1,Stage 1,['Logon_PB'],0.9847,0.9962,0.9857,0.952,0.0040035247802734375,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9824,0.9956,0.9836,0.9448,0.003971099853515625,0
1,Stage 1,['Input_Credentials'],0.9843,0.9961,0.9853,0.9508,0.004029273986816406,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB']",0.8766,0.9918,0.9737,0.2873,0.002999544143676758,0
4,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9607,0.9559,0.9737,0.9392,0.004027366638183594,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation']",0.8327,0.9913,0.9737,0.2873,0.0029916763305664062,0
3,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation']",0.8327,0.9913,0.9737,0.2873,0.0039632320404052734,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9824,0.9956,0.9836,0.9448,0.004998445510864258,0
3,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF']",0.9674,0.9721,0.9737,0.9392,0.004001617431640625,0
4,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_NEF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9607,0.9559,0.9737,0.9392,0.003000497817993164,0
3,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Portable_Execution', 'Agent_based_MPB']",0.7276,0.993,0.4095,0.9119,0.0039997100830078125,0
1,Stage 1,['Remote_access_PB'],0.9848,0.9962,0.9858,0.9522,0.003999948501586914,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9802,0.995,0.9814,0.9377,0.003999948501586914,0
